procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 20600336 188620 8549236    0    0    22    25  123  144  2  1 97  0  0
 1  0      0 20594632 188816 8541000    0    0     0   596 3682 5954  7  1 92  0  0
 1  0      0 20731940 188860 8532736    0    0     0  1283 1359 1378  5  0 94  0  0
 1  0      0 20728804 188916 8532776    0    0     0  1726 1349 1376  5  0 95  0  0
 1  0      0 20726728 188948 8534768    0    0     0    51 1572 1610  5  0 94  0  0
 1  0      0 20739108 188988 8530672    0    0     0    53 1367 1318  5  0 95  0  0
 1  0      0 20606508 189076 8538184    0    0     0  1398 2162 2576  6  0 94  0  0
 1  0      0 20613872 189124 8538204    0    0     0    58 1415 1383  5  0 94  0  0
 0  0      0 20775096 189188 8533728    0    0     0   917 5441 5245  9  1 90  0  0
 1  0      0 20729364 189240 8540900    0    0     0    77 4790 2129  4  2 94  0  0
 1  0      0 20589804 189328 8549000    0    0     0   950 6786 3104  5  2 93  0  0
 0  0      0 20623176 189392 8543444    0    0     0   533 4441 2820  4  1 94  0  0
 3  0      0 20493340 189464 8717556    0    0     0  1776 4403 9124  9  1 89  0  0
 0  0      0 20753252 189588 8540968    0    0     0   138 3869 4711  7  2 92  0  0
 1  0      0 20599992 189660 8647512    0    0     0   107 6266 2014  5  0 95  0  0
 0  0      0 20751536 189752 8537184    0    0     0   135 5032 3708  5  1 94  0  0
 3  0      0 20688068 189816 8575348    0    0     0   109 4255 6316  6  1 93  0  0
 1  0      0 20740604 189884 8540300    0    0     0   114 3933 6864  6  1 93  0  0
 1  0      0 20707068 189944 8556880    0    0     0    98 3162 3429  4  2 94  0  0
 1  0      0 20596044 190060 8552096    0    0     0   123 5388 5906  8  1 91  0  0
 1  0      0 20609500 190124 8549000    0    0     0   175 4550 6286  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 20738376 190196 8539112    0    0     0  1403 6892 1535  5  0 94  0  0
 1  0      0 20737080 190240 8540176    0    0     0    98 7256 1531  5  0 95  0  0
 1  0      0 20738144 190312 8539152    0    0     0    74 8190 1429  5  0 95  0  0
 0  0      0 20762592 190360 8535396    0    0     0    62 5766 7158  5  1 95  0  0
 1  0      0 20535988 190488 8715488    0    0     0   130 4732 3625  6  1 93  0  0
 1  0      0 20396612 190560 8724944    0    0     0   955 8862 3449  6  1 93  0  0
 1  0      0 20681040 190736 8572704    0    0     0  1306 3718 9633  4  2 94  0  0
 0  0      0 20639344 190856 8600744    0    0    10   261 2071 4743  2  1 97  0  0
 0  0      0 20640040 190904 8622124    0    0     0   166 2602 7002  3  1 96  0  0
 0  0      0 20643340 191024 8623876    0    0     0   159 1844 3693  2  1 98  0  0
 0  0      0 20796564 191088 8609132    0    0     0    77 2306 5207  2  1 97  0  0
 0  0      0 20764056 191160 8633024    0    0     0   120 2705 5914  3  1 96  0  0
