procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 23159244 135080 5999608    0    0    80    59  144  329  2  1 97  0  0
 0  0      0 23196428 135196 5953780    0    0    67   280 5270 10014  8  3 89  0  0
 3  0      0 23081284 135260 5973720    0    0     7  1972 4852 32521  8  2 90  0  0
 3  0      0 23137136 135408 5968360    0    0     0   166 3383 8377  4  1 95  0  0
 2  0      0 23158336 135492 5957244    0    0     0   129 1998 5313  2  1 97  0  0
 4  0      0 23141512 135588 5966424    0    0     0   125 3542 6977  3  1 96  0  0
 0  0      0 23140620 135668 5959888    0    0     0   122 3169 7941  4  1 95  0  0
 1  0      0 23163084 135732 5966712    0    0     0    95 2557 7117  3  1 96  0  0
 0  0      0 23133248 135832 5984600    0    0     0   122 3040 5829  3  1 96  0  0
 1  0      0 23166280 135936 5955816    0    0     1   122 1952 4869  2  1 97  0  0
 1  0      0 23194160 136024 5949768    0    0     0    80 1617 3244  1  1 98  0  0
 1  0      0 23185116 136172 5943900    0    0     0   170 3140 6232  3  1 96  0  0
 0  0      0 23211768 136252 5948060    0    0     0   102 1631 3191  1  1 98  0  0
 0  0      0 23205416 136308 5938416    0    0     0    83 2249 3942  2  1 97  0  0
 0  0      0 23204596 136388 5939536    0    0     0    89 1512 3029  1  1 98  0  0
 0  0      0 23198244 136436 5943184    0    0     0    63 1236 2011  1  1 99  0  0
 0  0      0 23203264 136484 5938548    0    0     0    63 1265 1977  1  1 99  0  0
 0  0      0 23165268 136572 5948472    0    0     0   122 1466 2599  1  1 98  0  0
 0  0      0 23191300 136652 5940948    0    0     0   100 1749 2260  1  1 98  0  0
 0  0      0 23165912 136740 5963140    0    0     0   109 2950 3791  2  2 96  0  0
 0  0      0 23149636 136812 5961176    0    0     0    90 2038 3319  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 23067036 136956 5961520    0    0     0   140 4506 6150  6  2 92  0  0
 3  0      0 23047528 137028 5970100    0    0     0    87 7593 7603 14  2 84  0  0
 3  0      0 23095648 137140 5956480    0    0     0   129 5437 11614  9  7 85  0  0
 4  0      0 23030448 137532 5986592    0    0   219   500 6077 14163 10  5 85  0  0
 3  0      0 22785664 137632 6209348    0    0    28  1757 7178 11000 11  3 85  0  0
 3  0      0 23018764 137688 5964040    0    0     3    83 6272 61262 13  2 86  0  0
 2  0      0 23070672 137760 5958524    0    0     2   967 6235 65891  9  1 89  0  0
 0  0      0 23115860 137832 5960688    0    0    16   137 3791 2979  4  2 94  0  0
 1  0      0 23120992 137920 5958660    0    0     0    92 1134 1410  0  1 99  0  0
 0  0      0 23120308 137968 5960196    0    0     0    49 1076 1381  1  1 99  0  0
 0  0      0 23137928 138064 5944676    0    0     0    99 1141 1533  1  1 99  0  0
 0  0      0 23172016 138112 5918228    0    0     0    80 1101 1454  1  1 99  0  0
 0  0      0 23173876 138160 5914204    0    0     0    67 1016 1485  1  1 99  0  0
 0  0      0 23165416 138208 5916264    0    0     0    70 1056 1413  1  1 99  0  0
 0  0      0 23113888 138288 5962392    0    0     0    85 1158 1743  1  1 99  0  0
 0  0      0 23132216 138332 5960952    0    0     0    68 1205 1531  1  1 99  0  0
 0  0      0 23085244 138396 5970408    0    0     0    94 1074 1682  1  1 99  0  0
 0  0      0 23147060 138444 5932592    0    0     0   111 1120 1476  1  1 99  0  0
 0  0      0 23159652 138500 5925492    0    0     0    63 1096 1516  1  1 99  0  0
 0  0      0 23156576 138540 5922396    0    0     0    78 1073 1426  1  1 99  0  0
 0  0      0 23165636 138612 5919880    0    0     0    59 1035 1365  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 23121120 138644 5952232    0    0     0    55 1062 1472  1  1 99  0  0
 0  0      0 23105144 138720 5964468    0    0     0   111 1193 1818  1  1 99  0  0
 0  0      0 23107252 138768 5962256    0    0     0    40 1091 1558  1  1 99  0  0
 0  0      0 23108556 138816 5960720    0    0     0    43 1085 1443  0  1 99  0  0
 0  0      0 23138020 138888 5937316    0    0     0    53 1046 1394  0  1 99  0  0
 0  0      0 23074540 138936 5984680    0    0     0    43 2819 5424  2  1 97  0  0
 1  0      0 23099936 139016 5972616    0    0     0    75 2958 6148  2  1 96  0  0
 1  0      0 23107048 139156 5967588    0    0     0   106 3613 7120  4  2 95  0  0
 2  0      0 23077164 139220 5950396    0    0     2    73 2465 3804  2  1 97  0  0
 1  0      0 23051148 139268 5962588    0    0     0    85 1028 1236  0  0 99  0  0
 3  0      0 23056644 139340 5964304    0    0     0    97 1057 1191  0  1 99  0  0
 9  0      0 22993992 139396 5965620    0    0    12    97 1668 1687  2  1 97  0  0
 3  0      0 23071212 139460 5962256    0    0     0    84 3514 2577  6  1 93  0  0
 4  0      0 23091440 139500 5955596    0    0     0    65 1390 1499  1  1 98  0  0
 4  0      0 23083828 139548 5953580    0    0     0    85 1348 1451  1  1 98  0  0
