procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 22965900 207224 6797864    0    0     8    12   37   48  2  1 97  0  0
 0  0      0 22977992 207320 6793768    0    0   118   167 5499 8104  9  1 89  0  0
 2  0      0 22950128 207400 6799924    0    0     0   110 4546 9699  6  2 92  0  0
 1  0      0 22929024 207504 6813776    0    0     0   126 5722 11541 10  2 88  0  0
 1  0      0 22942040 207560 6807096    0    0     0    98 5803 7122  6  2 92  0  0
 1  0      0 22769964 207624 6815076    0    0     0   118 7194 7461  6  1 92  0  0
 0  0      0 22812024 207712 6814668    0    0     0  1416 5581 12101  7  2 91  0  0
 1  0      0 22916636 207776 6809360    0    0     0   134 5017 11689  7  2 91  0  0
 1  0      0 22887632 207832 6827912    0    0     0   112 5461 11100  6  2 92  0  0
 0  1      0 22818620 207932 6813240    0    0     0  1421 5185 6625  7  2 91  0  0
 0  0      0 22805812 208040 6815256    0    0     0   108 3981 6105  6  1 93  0  0
 3  0      0 22906480 208096 6812660    0    0     0    78 3003 10713  3  1 95  0  0
 0  0      0 22922592 208168 6812700    0    0     0   120 2622 4896  3  1 96  0  0
 2  0      0 22943532 208392 6813468    0    0     0   310 2291 5833  2  1 97  0  0
 1  0      0 22779108 208536 6825204    0    0     0   429 2016 3300  1  1 98  0  0
 0  0      0 22760592 208636 6835092    0    0     1  1083 1957 4245  2  1 97  0  0
 1  0      0 22911468 208716 6835108    0    0     0   130 3001 6603  3  1 96  0  0
 0  0      0 22913672 208780 6817848    0    0     0    78 3143 5424  3  1 96  0  0
 0  0      0 22917204 208852 6817768    0    0     0    69 1291 1857  1  1 99  0  0
 0  0      0 22932880 208884 6817768    0    0     0    36 1385 1950  1  1 99  0  0
 0  0      0 22920416 208940 6814960    0    0     1   112 1971 2847  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 22876280 209084 6845404    0    0     1    97 3080 7192  3  1 96  0  0
 0  0      0 22900204 209164 6824052    0    0     0    74 1644 3108  1  1 98  0  0
 0  0      0 22873680 209208 6822064    0    0     4    50 2039 4292  2  1 97  0  0
 0  0      0 22851312 209384 6827100    0    0    21   608 4419 9871  3  2 95  0  0
 1  0      0 22871004 209432 6826080    0    0     0    67 2466 4150  2  1 97  0  0
