procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 23848308 154804 4548808    0    0     8    15   13   15  4  1 95  0  0
 4  0      0 22052096 155100 6254424    0    0 104700   202 10505 31752 10  3 86  1  0
 4  0      0 22037468 155472 6292516    0    0  2606   173 6994 49636 11  3 87  0  0
 1  0      0 21848712 155584 6293932    0    0   291   174 6288 14673  7  2 91  0  0
 0  0      0 21251724 155676 6297172    0    0     0   357 4932 14672  6  1 92  0  0
 2  0      0 21166144 155764 6297184    0    0     0   191 5205 13949  7  1 92  0  0
 1  0      0 20887584 155996 6334624    0    0     1   279 7069 18143  8  2 90  0  0
 1  0      0 20860368 156152 6336188    0    0   136   202 5858 19931  9  2 90  0  0
 1  0      0 20848124 156220 6335804    0    0     0   138 4535 14883  7  1 92  0  0
 1  0      0 20952528 156304 6328260    0    0     0   146 4908 15213  7  1 92  0  0
 1  0      0 20929740 156384 6316504    0    0     0   153 4835 15389  7  1 92  0  0
 1  0      0 20867508 156480 6347996    0    0     0   178 4355 14250  7  1 92  0  0
 5  0      0 20651752 156584 6332312    0    0     0   215 6000 17197  8  1 90  0  0
 1  0      0 20674520 156640 6370128    0    0     0   167 4946 15330  7  1 92  0  0
 1  0      0 19965868 156736 6343932    0    0     0  1772 4559 15027  7  1 92  0  0
 1  0      0 20145600 156880 6380672    0    0   101   230 5129 15770  8  1 91  0  0
 1  0      0 20127672 156948 6358364    0    0     0   142 4439 14637  7  1 92  0  0
 1  0      0 20198024 157036 6353872    0    0     0   118 4504 13586  6  1 93  0  0
 4  0      0 20251376 157132 6358764    0    0     0   136 6000 16683  7  2 91  0  0
 1  0      0 20010248 157248 6369636    0    0     0   225 4191 14880  7  1 92  0  0
 1  0      0 20076392 157352 6351612    0    0     0  1819 4807 14573  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 20053840 157440 6373900    0    0     0   119 4818 15368  6  1 92  0  0
 2  0      0 20124872 157496 6343280    0    0     0   169 4799 15397  7  1 91  0  0
 1  0      0 19878512 157588 6385756    0    0     0   228 4806 15850  7  1 92  0  0
 1  0      0 19641756 157648 6403628    0    0    42   152 4266 15018  7  1 92  0  0
 1  0      0 19764492 157720 6400160    0    0     0   149 4807 16486  7  1 91  0  0
 1  0      0 19748152 157908 6429156    0    0    35   225 7288 22191 10  2 88  0  0
 1  0      0 19652476 158016 6391904    0    0     0   196 6234 15858  7  1 92  0  0
 4  0      0 19827944 158120 6352912    0    0     0   177 4643 14495  6  1 92  0  0
 3  0      0 19613868 158176 6391284    0    0     0   140 4322 15521  6  1 93  0  0
 3  0      0 19645252 158272 6396800    0    0     0   136 6021 18776  8  2 90  0  0
 1  0      0 19719348 158340 6370972    0    0     0   149 4922 16244  7  1 92  0  0
 1  0      0 19803600 158444 6374828    0    0     0   149 4676 15500  7  1 92  0  0
 1  0      0 19541780 158524 6397896    0    0     0   137 5575 17645  8  1 90  0  0
 1  0      0 19600636 158696 6393424    0    0    10   203 7048 21352 10  1 88  0  0
 1  0      0 19727668 158744 6385572    0    0     0   137 5777 18175  7  1 91  0  0
 0  0      0 19754292 158912 6386624    0    0     0   247 5417 19102  7  2 91  0  0
 2  0      0 19567072 158996 6432492    0    0     0   178 4808 17126  7  1 91  0  0
 1  0      0 19775376 159060 6365316    0    0     0   291 3442 9098  5  1 94  0  0
 1  0      0 19737728 159168 6386564    0    0     1   194 3761 9740  6  1 93  0  0
 0  0      0 19350244 159264 6468068    0    0    22   245 6005 20897  9  2 89  0  0
 2  0      0 19591104 159464 6392316    0    0    66   584 6883 19904  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 19582368 159696 6398280    0    0    97   369 5215 18224  7  2 92  0  0
 2  0      0 19500732 159776 6393172    0    0     0   212 4795 16969  6  2 92  0  0
 0  0      0 19632600 159944 6388192    0    0     0   204 4745 16602  7  1 92  0  0
 1  0      0 19147508 160128 6526272    0    0    17   582 5762 21048  7  1 91  0  0
 1  0      0 19295304 160276 6522608    0    0    14   311 5401 18146  8  1 91  0  0
 1  0      0 19034768 160644 6567416    0    0   581  1098 7733 27563 11  2 87  0  0
 2  0      0 18983364 161028 6503912    0    0    19   768 7740 27927 11  2 87  0  0
 1  0      0 18850852 161216 6505464    0    0    30   547 5925 20843  9  2 89  0  0
 1  0      0 19065748 161384 6467124    0    0     0   282 5698 18162  7  2 91  0  0
 1  0      0 19177236 161504 6468548    0    0     2   319 5689 20502  8  2 91  0  0
 2  0      0 19393836 161628 6367564    0    0     0   376 6808 17319  8  1 90  0  0
 0  0      0 19213320 161724 6395692    0    0     0   169 4939 15262  7  1 92  0  0
 1  0      0 18493228 161844 6370236    0    0     0   198 4257 15270  7  1 92  0  0
 3  0      0 18540448 161936 6387732    0    0     0   210 6094 16004  8  1 91  0  0
 1  0      0 18012464 162016 6419440    0    0     0   196 8685 15818  8  1 91  0  0
 0  0      0 22918512 162104 6232376    0    0     0   267 2254 4766  2  1 97  0  0
 0  0      0 22898204 162200 6232708    0    0     0   141 1212 1746  1  1 99  0  0
 0  0      0 22932564 162256 6225480    0    0     0   106 1200 1974  1  1 98  0  0
 0  0      0 22910468 162296 6225116    0    0     0    78 1178 1673  1  1 99  0  0
 0  0      0 22933628 162352 6225260    0    0     0    67 1223 1936  1  1 99  0  0
 0  0      0 22918368 162392 6199752    0    0     0    48 1189 1716  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 22958184 162488 6196476    0    0     0    99 1327 1966  1  1 98  0  0
 0  0      0 22949148 162520 6197000    0    0     0    52 1296 1734  1  1 98  0  0
 0  0      0 22953744 162568 6196516    0    0     0    70 1206 1911  1  1 98  0  0
 0  0      0 22933840 162600 6200132    0    0     0    41 1217 1688  1  1 99  0  0
 0  0      0 22954752 162656 6197080    0    0     0    84 1252 1937  1  1 98  0  0
 0  0      0 22911380 162720 6225772    0    0     0    95 1196 1654  1  1 99  0  0
 2  0      0 22922312 162768 6225788    0    0     0    58 1174 1903  1  1 99  0  0
 3  0      0 22923936 162816 6200120    0    0     0    78 1203 1766  1  1 99  0  0
 4  0      0 22957852 162872 6197060    0    0     0    78 1160 1837  1  1 99  0  0
 4  0      0 22929128 162920 6197072    0    0     0    85 1236 1768  1  1 99  0  0
 5  0      0 22950096 162968 6192468    0    0     0    52 1173 1729  1  1 99  0  0
 8  0      0 22438804 163484 6356236    0    0    33   410 6342 19687  8  2 90  0  0
 4  0      0 22331624 163632 6405260    0    0     2   322 6077 19562  7  2 90  0  0
 3  0      0 22109120 163776 6422172    0    0     0   265 7120 23570  9  3 88  0  0
 8  0      0 21862404 163904 6429040    0    0     0   217 6972 23413  9  2 89  0  0
 4  0      0 21414608 164040 6427300    0    0     0   317 7909 25702  9  3 88  0  0
 4  0      0 20617044 164144 6447408    0    0     0   281 8183 25866  9  2 88  0  0
 3  0      0 19495872 164240 6427260    0    0     0   167 7996 25006  9  2 89  0  0
 6  0      0 19852312 164304 6419644    0    0     1   168 11526 25812 11  2 88  0  0
 3  0      0 19673052 164384 6418140    0    0     0   133 7524 23858  9  2 89  0  0
 8  0      0 19752032 164460 6448076    0    0     0   154 9382 25758 11  2 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 19610712 164596 6442216    0    0     0   243 10017 26180 13  2 85  0  0
10  0      0 19735504 164676 6445284    0    0     0   170 11371 26190 14  2 84  0  0
 1  0      0 19605012 164788 6420448    0    0     0   214 9321 24267 11  2 87  0  0
 5  0      0 19299416 164876 6430836    0    0     0   191 7584 23398 10  2 88  0  0
 3  0      0 19525824 164980 6375784    0    0     0   165 5613 16327  6  2 92  0  0
 3  0      0 19495764 165036 6380180    0    0     0   116 3873 12235  5  2 93  0  0
 1  0      0 19435956 165132 6405348    0    0     0   137 4262 14323  5  2 93  0  0
 5  0      0 19453796 165180 6381916    0    0     0   110 4544 13633  6  2 93  0  0
 3  0      0 19402468 165340 6373896    0    0     0   204 4867 15314  6  2 92  0  0
 3  0      0 19767428 165404 6377892    0    0     0   118 5038 14348  6  2 92  0  0
 4  0      0 19711404 165596 6399456    0    0    14   152 5287 15052  6  2 92  0  0
 4  0      0 19752176 165652 6375676    0    0     0   113 5275 15911  7  2 91  0  0
 5  0      0 19767672 165788 6362580    0    0     0   161 4861 14460  6  2 92  0  0
 2  0      0 19770648 165852 6368068    0    0     0    99 5075 14746  6  2 92  0  0
 4  0      0 19746012 165980 6370852    0    0     0   140 4816 14951  6  2 92  0  0
 3  0      0 19761036 166028 6381788    0    0     0   151 4351 14002  5  2 93  0  0
 3  0      0 19717080 166148 6370508    0    0     0   187 4053 12910  5  2 93  0  0
 3  0      0 19759400 166180 6367972    0    0     0   123 4215 13102  6  2 93  0  0
 2  0      0 19768080 166288 6328388    0    0     1   123 4162 13241  5  2 93  0  0
 3  0      0 19755596 166344 6382144    0    0     0   110 4500 14209  6  2 92  0  0
 5  0      0 19746452 166448 6374856    0    0     0   143 4524 13868  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 19699620 166520 6352644    0    0     0   119 4856 14046  5  2 93  0  0
 6  0      0 19703532 166608 6367560    0    0     0   118 4215 13328  5  2 93  0  0
 4  0      0 19712244 166656 6334212    0    0     0    92 4110 13270  5  2 93  0  0
 2  0      0 19674408 166788 6366320    0    0     0   130 4272 13764  5  2 93  0  0
 2  0      0 19689948 166836 6372956    0    0     0   105 4137 12978  5  2 93  0  0
 2  0      0 19720188 166908 6371524    0    0     0   104 4141 13470  5  2 93  0  0
 1  0      0 19683372 166948 6367984    0    0     0    93 4136 13039  5  2 93  0  0
 3  0      0 19650232 167028 6368352    0    0     0   130 4147 13189  5  2 93  0  0
 5  0      0 19696144 167068 6367036    0    0     0    68 4276 13802  5  2 93  0  0
 4  0      0 19642904 167196 6389708    0    0     0   142 4119 13104  5  2 93  0  0
 5  0      0 19645524 167284 6371648    0    0     0   151 4310 13869  5  2 93  0  0
 5  0      0 19582336 167388 6392596    0    0     0   182 4129 13264  5  2 93  0  0
