procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 23128312 149784 5993452    0    0    36    36  138  371  3  1 96  0  0
 1  0      0 22981220 149868 6055704    0    0     0  1527 6323 15753  9  4 88  0  0
 3  0      0 22903496 149932 6071824    0    0     0   413 6362 37486  9  2 89  0  0
 0  0      0 23042892 149988 6045500    0    0     0   263 4895 12413  5  2 93  0  0
 0  0      0 23004612 150072 6044252    0    0     0  1398 3350 10425  3  2 95  0  0
 0  0      0 23053008 150148 6035980    0    0     0   344 3198 9874  3  1 96  0  0
 1  0      0 23050916 150184 6038020    0    0     0   179 3186 9810  3  1 96  0  0
 0  0      0 23005580 150232 6054232    0    0     0    78 3844 10764  3  1 95  0  0
 0  0      0 23008008 150320 6050732    0    0     0  1563 3303 10370  3  1 95  0  0
 0  0      0 22973764 150384 6070408    0    0     0   231 3265 10267  3  1 95  0  0
 0  0      0 23023528 150416 6061052    0    0     0   210 3218 9901  3  1 96  0  0
 0  0      0 22995176 150476 6035916    0    0     1   151 3430 10365  3  2 95  0  0
 0  0      0 23009044 150516 6031872    0    0     0   271 3213 9854  3  1 95  0  0
 1  0      0 22936572 150600 6081220    0    0     4   562 4604 17464  5  2 94  0  0
 0  0      0 23006004 150648 6082324    0    0     2   289 2227 6413  2  1 97  0  0
 1  0      0 23093244 150688 6035064    0    0     0   159 1533 3529  1  1 98  0  0
 0  0      0 23047100 150736 6069908    0    0     1   119 2359 7296  2  1 97  0  0
 0  0      0 23100680 150776 6019988    0    0     0   112 1486 3409  1  1 98  0  0
 0  0      0 23085516 150808 6038852    0    0     0    49 1502 2912  1  1 98  0  0
 1  0      0 23113676 150876 5995652    0    0     1   703 2581 5031  2  1 97  0  0
 1  0      0 22878112 151040 6193384    0    0     9   845 4447 15181  4  2 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 22972236 151236 6122952    0    0     1   962 3298 8911  3  1 95  0  0
 0  0      0 23095496 151572 6087992    0    0     0   229 2297 5889  2  1 97  0  0
 0  0      0 22794204 151772 6183080    0    0    73   691 4822 16422  5  2 94  0  0
 0  0      0 22816700 151844 6156348    0    0     0   653 3797 12056  4  2 94  0  0
 0  0      0 22809536 151928 6169768    0    0     0   563 3979 12523  4  2 94  0  0
 1  0      0 22952196 151976 6131652    0    0     0   249 3585 9275  4  1 95  0  0
 0  0      0 22995560 152040 6103932    0    0     0   269 3112 9123  3  1 95  0  0
 0  0      0 22953612 152088 6126128    0    0     0   329 3101 9083  3  1 96  0  0
 0  0      0 22932712 152292 6127956    0    0     9   539 3143 9172  3  1 95  0  0
 0  0      0 22886388 152348 6158048    0    0     0   697 3215 9716  3  1 95  0  0
 1  0      0 22956844 152416 6097580    0    0     0   235 3168 9052  3  1 95  0  0
 0  0      0 22960736 152480 6099792    0    0     0   215 3078 9024  3  1 96  0  0
 0  0      0 22927944 152552 6129096    0    0     0   200 3100 9048  3  1 96  0  0
 0  0      0 22938812 152592 6102720    0    0     0   238 3101 9033  3  1 96  0  0
 1  0      0 22922960 152652 6106592    0    0     0   349 3068 9057  3  1 96  0  0
 0  0      0 22917208 152816 6118496    0    0  1769   877 3199 9176  3  1 96  0  0
