procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 20803760 235488 8464048    0    0     8     7   38   43  1  1 98  0  0
 3  0      0 20563036 235624 8594792    0    0     0  2262 8003 12922 13  2 86  0  0
 1  0      0 20678032 235700 8508732    0    0     0   172 6739 7258  7  2 91  0  0
 3  0      0 20747780 235848 8485456    0    0     0   179 3553 7681  6  2 92  0  0
 1  0      0 20188476 235940 9000864    0    0     0   142 4312 7846  8  1 90  0  0
 1  0      0 20745084 236016 8488916    0    0     0   120 4571 7651  8  2 90  0  0
 1  0      0 20762044 236064 8488608    0    0     0    89 5922 3281  6  0 93  0  0
 3  0      0 20744912 236120 8494544    0    0     0    96 4252 7325  7  1 92  0  0
 4  0      0 20726528 236352 8507108    0    0     0   217 5731 12704  8  2 90  0  0
 1  0      0 20798076 236444 8490204    0    0     0   134 3701 6962  5  2 93  0  0
 1  0      0 20595060 236500 8640188    0    0     0   112 2286 3728  5  1 93  0  0
 3  0      0 20639884 236632 8530908    0    0     0   178 4530 6526  7  2 92  0  0
 2  1      0 20693032 236720 8498532    0    0     0   155 3647 6711  6  1 93  0  0
 0  0      0 20726000 236788 8500440    0    0     0   188 3706 5132  6  1 93  0  0
 0  0      0 20743132 236872 8506212    0    0     0   173 2142 4924  2  1 97  0  0
 0  0      0 20707004 236992 8503660    0    0   153   101 2896 5295  3  1 96  0  0
 0  0      0 20724540 237096 8506360    0    0     0    99 3943 9764  4  2 94  0  0
 0  0      0 20744116 237192 8500364    0    0     0   142 2027 4473  2  1 97  0  0
 2  0      0 20755640 237272 8493448    0    0     0    74 1367 2691  1  1 98  0  0
 0  0      0 20727564 237440 8505744    0    0     0    99 3294 7599  3  1 96  0  0
 0  0      0 20755324 237480 8493964    0    0     0    62 1388 3012  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 20755456 237536 8494024    0    0     0    70 1125 1987  1  1 99  0  0
 0  0      0 20699868 237584 8505192    0    0     0    81 1198 2299  1  1 99  0  0
 0  0      0 20700524 237656 8514180    0    0     0    85 2119 4947  2  1 97  0  0
 2  0      0 20773808 237744 8497508    0    0     0   146 3374 7016  4  1 95  0  0
 1  0      0 20754156 237808 8512584    0    0     1    95 1803 5096  2  1 97  0  0
 1  0      0 20772236 237864 8503404    0    0     0    61 1736 4690  2  1 98  0  0
 0  0      0 20774976 237880 8494684    0    0     0    27 1628 3930  1  1 98  0  0
 0  0      0 20747436 237904 8494832    0    0     0    58 2748 8674  3  1 96  0  0
 0  0      0 20777252 238040 8500772    0    0     0    87 2676 7363  4  1 95  0  0
 1  0      0 20760128 238072 8505044    0    0     0    46 2610 7580  3  1 96  0  0
 0  0      0 20758484 238128 8504860    0    0     0    58 1785 5108  2  1 97  0  0
 0  0      0 20723160 238152 8514404    0    0     0    74 2737 7838  3  1 95  0  0
 0  0      0 20739872 238200 8510444    0    0     0    85 2015 5257  2  1 97  0  0
 1  0      0 20753724 238248 8497320    0    0     0    69 1596 3430  1  1 98  0  0
 0  0      0 20671172 238320 8516824    0    0     0    62 2273 5634  2  1 97  0  0
 1  0      0 20712504 238368 8504536    0    0     0   100 1760 4425  2  1 97  0  0
 2  0      0 20712104 238432 8504080    0    0     0    97 1925 5110  2  1 97  0  0
 0  0      0 20682600 238464 8496104    0    0     0    54 1605 4249  1  1 98  0  0
 0  0      0 20670524 238544 8513808    0    0     0    59 3456 8452  4  1 95  0  0
 0  0      0 20672916 238560 8505416    0    0     0     8 1878 5616  2  1 97  0  0
 1  0      0 20728620 238640 8502960    0    0     0    97 2029 5342  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 20697872 238680 8511976    0    0     0    85 1602 3966  1  1 98  0  0
 4  0      0 20632448 238788 8508112    0    0     1   130 4204 10416  5  1 94  0  0
 0  0      0 20675680 238892 8501132    0    0     0    71 2150 5573  2  1 97  0  0
 0  0      0 20609460 238972 8506452    0    0     0    99 3035 8767  3  1 96  0  0
 0  0      0 20668052 239004 8508948    0    0     0    60 2707 7743  3  1 96  0  0
 0  0      0 20669992 239068 8517480    0    0     0    74 3445 8579  4  1 95  0  0
 0  0      0 20698928 239100 8494028    0    0     0    67 2581 5292  3  1 96  0  0
 0  0      0 20645248 239172 8517600    0    0     0    70 4033 7669  5  1 94  0  0
 1  0      0 20693904 239236 8501480    0    0     0    26 1981 4017  2  1 97  0  0
